subject,segmentNum,deltaOBW1,deltaOBW2,deltaOBW3,deltaOBW4,deltaOBW5,deltaOBW6,deltaOBW7,deltaOBW8,deltaOBW9,deltaOBW10,deltaPobwdB1,deltaPobwdB2,deltaPobwdB3,deltaPobwdB4,deltaPobwdB5,deltaPobwdB6,deltaPobwdB7,deltaPobwdB8,deltaPobwdB9,deltaPobwdB10,deltaP3dB1,deltaP3dB2,deltaP3dB3,deltaP3dB4,deltaP3dB5,deltaP3dB6,deltaP3dB7,deltaP3dB8,deltaFCenter1,deltaFCenter2,deltaFCenter3,deltaFCenter4,deltaFCenter5,deltaFCenter6,deltaFCenter7,deltaFCenter8,deltaAmp
1.0,2.0,10.992778306310356,-9.756144745269012,-55.09047662938019,6.057810950080011,26.398112760320032,33.490595582034985,-3.535730491047957,-3.5288797079139727,81.47799150722702,96.78298809181402,-0.15803289178930413,-0.5955382333806014,-0.6548031976296045,-1.4229151922070962,-1.8759053935796963,0.0035911664406036437,-0.18755318206800098,-2.1790717912505997,0.7610217492672078,1.50113347888,3.668777851513802,6.467346995975099,1.1423395776358092,5.586006996706196,2.268248431036902,6.178521663862703,5.7178931566170945,-0.308136050552406,-3.455104863669476,147.43227861547007,42.00394341388403,122.98947530616897,215.578052950235,122.36702153609804,78.22527313270508,31.578533002200402,0.0
1.0,3.0,-111.43688518041017,-166.23206255980995,-574.9163227188701,-224.05219735442495,-62.696068735803124,-160.738021055346,-33.581060714683986,-21.156204442589,-66.34734105379403,-47.05643810148803,-3.5111124853109033,-2.1507890919575985,0.14504253411439905,-1.9313832828929058,-2.9235134420059055,-3.616214096703299,-1.3297331000458001,2.5664875902987063,1.180979812940798,7.170029446215999,-11.109426701094002,-7.714717901144809,0.556356282190194,-6.545477418775199,-9.488389702593402,-5.751501421810204,-5.1062475501292965,4.454885351306302,-6.954456216981271,-155.4594057193799,-36.51600535146804,-18.62361954712094,-38.10264198251497,35.606440240729,-6.328264329274987,9.481826006022288,-0.07688600000000001
1.0,4.0,155.1166308071406,-17.35535008773013,129.6764636022201,14.461037065069036,-18.41741609365795,-35.42280311183009,-59.36568058437598,-10.40089788934003,-22.963899241063984,-78.61745315342019,4.317688742841803,1.9307822415413973,1.0452992236987022,2.622875528047299,1.6881997508792992,4.067914939032601,4.414941891011903,7.332315639708696,11.629267482181902,13.053380024200898,18.457718874549208,1.029697736415308,1.705737623440804,7.1250196781915065,4.652121423890598,-1.6185970024366014,4.8223405414406955,13.5858143931056,-4434.89000558656,7.687275592279775,-5.555712741047955,22.946785353040013,39.70093357828205,-57.98752686600105,-39.853929732145005,-77.39680410790619,-0.002847000000000044
1.0,5.0,-90.68118904259154,-55.02405040391068,65.1020309897799,39.014605031076144,60.85195700895508,103.08381660788905,60.40561229347401,48.99744307616402,54.75169690918199,83.1755817778862,-0.4684499952809986,0.5464748554532015,-0.6334979075163965,0.1595803469480046,0.756284309794502,-1.4265407903960003,-3.243446663670003,-6.643331870247799,-11.995088446495409,-18.522459436267795,-7.625378177959,8.587385763617903,-0.7638975121327007,1.7475397135901005,-4.690234194132195,0.8438854838104035,-5.875149406909998,-16.548072317606902,5.532629095329639,138.45190146347022,-0.449828470950024,-34.389185358402074,-136.93219621160807,-101.73199376236298,-28.324810762208102,62.66140311491911,0.0
1.0,6.0,-50.27095782049855,114.21768958980056,-0.8844418791700264,64.89832521772973,16.017734451725005,3.8138827490449785,-3.1229192134929917,-30.784724228174014,-24.346467513820983,-14.421958356819005,-0.09086312794050144,-0.3778901215074022,-0.1867015036478996,-0.2077555041060002,-0.8531068459751019,0.16178940220419946,2.586647972244805,2.8665170500323,2.084025164619206,0.5040703150004973,-2.4517291406401114,-1.2266274730738118,-2.4160830634096087,-7.030835330625102,4.754219169415698,2.9835325451933983,11.212867611381704,1.3711944094524,2.7765174354201463,-4.186545423639927,-23.519163290015058,19.15047653838002,138.974135030804,160.18335187473798,13.107751704521107,-22.910445269526214,0.0
1.0,7.0,129.77623902404048,-45.955617175889984,-100.96878816980984,-134.2732645086769,-80.9430717036771,-91.64050146327395,-4.784010105920061,49.09927999216498,17.37950908245898,-23.562293999971985,0.22598404911529713,0.4413364005032996,1.5467876107111955,0.4271163815562993,0.5874950845917049,-0.5689134160021041,-2.183112435749507,-4.568602342290397,-3.3236448472603044,2.7508863098037963,5.723639515804209,-6.736759394596291,3.521020628532206,6.627828593192497,-0.24322217376770539,-4.254899858180195,-7.405596784573902,-3.2660838147658,-9.6369877781799,-134.10605334052025,23.878772904962943,14.058866114130069,-1.5120965569919917,-2.2374011882009768,51.95736361125199,38.803192869648306,0.0
1.0,8.0,-18.637710338990473,152.42053936691946,174.17849151702967,84.10369128923003,41.027243092714,72.78845690297192,-0.47951585285500187,-0.6290552923759947,1.554277507780995,-7.335921093846991,-0.4629704557622958,-0.22309198508679629,-1.1418509987405017,0.752771080389401,1.4572512452479955,0.8201833441874058,0.2444146178929003,-2.0294441842866107,-2.67122191211579,-6.0993121676295985,-5.750837180394306,-1.0752956787598933,-3.2480401181277045,-3.7545232937291004,2.5558624908245022,2.824400952511887,-3.800492402240799,-1.1552010954124086,-1.669208400350044,0.03680798373011385,-0.07824407674695522,-21.616431220348034,-0.23893075673004205,3.741687698944986,1.2185631650569917,13.386793435434896,0.0
1.0,9.0,-68.37981020672032,-173.06053600721998,-24.50522949963988,6.272018832565891,-4.831010117762958,-7.229013361558941,25.77945770858605,-24.621045796267993,1.1355478069290257,7.957532639856979,0.5366359545142032,-0.2570070436246006,-0.2350908978918973,-0.918132874610901,-1.3459046082057,0.5111104941991975,-0.3706807034288957,1.2883880464401045,0.6281535430953937,2.591934891799305,2.77443458618081,1.746976792540785,3.48768444702781,3.697695012205102,-3.245206352157396,-0.7068535987871911,-0.07349363864219782,2.748505239555506,0.0100409795898031,-4.589851619040019,-0.29445051818299817,21.350731660324982,4.196229533440999,0.47520647831800034,-0.2055745168200076,-12.002173847642894,0.0
2.0,2.0,1584.4182091061894,544.7974300891096,3.4875293423599487,-52.87444820324606,-26.431046382619,21.48040602902097,12.745612002013985,-20.07277266166801,-35.392275993907006,-26.761480269615497,-2.1087595594181963,-0.9115676114513995,1.0891980928925022,2.3598372720309015,-0.02040533060549876,-2.403011519988098,-2.5032410132857947,-5.108266922175606,-11.113379158285095,-13.050925315119951,-5.334324633708398,-5.044822131866397,0.9377752056951998,1.4610286890708934,0.05261930380069657,-2.240993599139891,-1.603102972012607,-3.8627701363606946,389.49184503417996,-158.63234413668192,-0.0741832833110152,23.43077812451901,-5.278812141304897,49.3556958991505,23.174672115421792,18.55719533027455,1.5070940000000004
2.0,3.0,57.319375765180666,59.70244615610045,-3.049715699319904,30.946639837689986,225.04717219189808,180.00596109337505,6.309542871402016,-44.418870506605,-6.789012439943704,17.276216609614103,-0.408680331168199,-1.564466551153199,-0.7489114777026984,-0.7945821866172977,-0.5706281814103029,3.540120267293002,5.374083919983494,8.816248729538906,1.3747752542340947,-2.3032099104287944,-0.9742317116325054,2.157726460584996,4.261599569872402,3.340550911631606,1.3339542250656038,-0.6472061895653027,15.389474883903912,16.381977759776895,0.45874341238982197,135.47783958585205,143.31223420379604,72.970370184834,118.7991812702896,51.684308133505596,35.382528086396306,35.9341367837347,0.0
